,County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
7375,ERIE,738953,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21065,1971,COLVIN BLVD,,,TONAWANDA,NY,14150,4000,POINT (-78.852171329 42.991592713)
7504,ONONDAGA,738512,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19518,7344,RTE 20,,,POMPEY,NY,13138,9346,POINT (-76.013929414 42.897599266)
8185,CHAUTAUQUA,736375,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19335,5360,ROUUTE 474,,,ASHVILLE,NY,14710,91609,POINT (-79.41050295 42.081422817)
8237,NIAGARA,736208,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19579,1895,QUAKER RD,,,BARKER,NY,14012,8000,POINT (-78.553807092 43.323078124)
8524,ERIE,735095,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18657,2737,SOUTHWESTERN BLVD,,,ORCHARD PARK,NY,14127,3000,POINT (-78.724601954 42.810973958)
8527,CHAUTAUQUA,735092,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18952,2864,ROUTE 426,,,FINDLEY LAKE,NY,14736,7263,POINT (-79.73825383 42.122736281)
8672,ONEIDA,734527,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #16137,8420,STATE ROUTE 69,,,ORISKANY,NY,13424,0,POINT (-75.332144539 43.159012324)
9295,NIAGARA,732351,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18480,3887,MAPLETON RD,,,NORTH TONAWANDA,NY,14120,7500,POINT (-78.833801886 43.122396126)
9499,CHAUTAUQUA,731678,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18496,4884,RTE 430,,,BEMUS POINT,NY,14712,9160,POINT (-79.420735938 42.204041328)
9561,CHAUTAUQUA,731468,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22154,5817,JAMESTOWN ST,,,SINCLAIRVILLE,NY,14782,9346,POINT (-79.266411103 42.253387814)
9562,CHAUTAUQUA,731467,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18261,50,E MAIN ST,,,RIPLEY,NY,14775,7520,POINT (-79.706042008 42.268333795)
9794,ONEIDA,730580,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 12183,1112,MOHAWK ST,,,UTICA,NY,13501,3000,POINT (-75.222035028 43.091109026)
9798,NIAGARA,730576,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 18375,6408,CAMPBELL BLVD,,,LOCKPORT,NY,14094,0,POINT (-78.769241617 43.116274445)
9806,ERIE,730565,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19220,41,BUFFALO RD,,,EAST AURORA,NY,14052,11100,POINT (-78.630644166 42.768473617)
9813,ONONDAGA,730554,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19245,4141,S SALINA ST,,,SYRACUSE,NY,13205,7000,POINT (-76.141282877 43.008193156)
9815,ERIE,730551,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19223,2391,GRAND ISLAND BLVD,,,GRAND ISLAND,NY,14072,0,POINT (-78.96760575 43.026950995)
9821,ONONDAGA,730532,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19244,220,S GEDDES ST,,,SYRACUSE,NY,13204,0,POINT (-76.171170229 43.044831545)
