County,GEOID,License Number,Entity Name,DBA Name,Street Number,Street Name,City,State,Zip Code,geometry,TRACTCE,LSAD,ALAND,AWATER,pop_total,pop_white,housing_total,housing_owned,housing_rental,med_income,state,county,tract,_merge
WARREN,36113075002,723011,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16739,6123,STATE RT 8,CHESTERTOWN,NY,12817,POINT (597929.515016583 4835263.161793265),75002,CT,130270429,2228829,1359,1295,611,523,88,33125,36,113,75002,both
WARREN,36113074000,754704,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21795,3254,STATE RTE 28,NORTH CREEK,NY,12853,POINT (582403.7255044405 4837248.550409987),74000,CT,528951203,6506568,2434,2304,1066,834,232,27407,36,113,74000,both
WARREN,36113073000,754163,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23797,3760,MAIN ST,WARRENSBURG,NY,12885,POINT (599631.0395080872 4816243.705519733),73000,CT,164426858,3400647,3966,3871,1703,1158,545,31474,36,113,73000,both
WARREN,36113072001,738513,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19808,1858,RTE 9,LAKE GEORGE,NY,12845,POINT (604976.2009281834 4805178.970813486),72001,CT,19649381,3045776,1743,1626,850,546,304,31050,36,113,72001,both
WARREN,36113070802,718991,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14999,61,MAIN ST,QUEENSBURY,NY,12804,POINT (607915.697860117 4795021.868656339),70802,CT,9343619,1261019,3529,3421,1407,1090,317,40180,36,113,70802,both
ULSTER,36111954800,510493,DOLGEN NEW YORK LLC,DOLLAR GENERAL STR 9531,114,S MAIN ST,ELLENVILLE,NY,12428,POINT (550256.3584904397 4618466.601907315),954800,CT,15882264,55886,5315,3372,2114,889,1225,25890,36,111,954800,both
ULSTER,36111954500,718029,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14385,6280,RT 209,KERHONKSON,NY,12446,POINT (558408.2072007328 4625243.807195815),954500,CT,97022998,904454,4428,2940,1172,907,265,39493,36,111,954500,both
ULSTER,36111954100,724204,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17103,1280,RT 32,WALLKILL,NY,12589,POINT (577037.5189638457 4607604.673649178),954100,CT,48934593,965640,5586,4673,2048,1413,635,42883,36,111,954100,both
ULSTER,36111954000,703903,DOLGEN NEW YORK LLC,DOLLAR GENERAL #13782,1985,ROUTE 32,MODENA,NY,12548,POINT (573824.5343274814 4612374.453841929),954000,CT,42001615,660729,4643,3856,2004,1620,384,41187,36,111,954000,both
ULSTER,36111953800,750134,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22620,1984,ROUTE 9W,MARLBORO,NY,12542,POINT (586587.0488112706 4613620.717263442),953800,CT,16213206,4633058,3671,3459,1658,1046,612,50526,36,111,953800,both
ULSTER,36111953800,510531,DOLGEN NEW YORK LLC,DOLLAR GENERAL 5736,2,"RIVERVIEW DR, STE 4",MARLBORO,NY,12542,POINT (586327.5209526548 4607651.969166531),953800,CT,16213206,4633058,3671,3459,1658,1046,612,50526,36,111,953800,both
ULSTER,36111953600,738470,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17899,3592,RT 9W,HIGHLAND,NY,12528,POINT (586173.4351955386 4618381.711413046),953600,CT,12137977,1009337,5790,4803,2184,1084,1100,43098,36,111,953600,both
ULSTER,36111952700,510809,DOLGEN NEW YORK LLC,DOLLAR GENERAL #12597,1155,RT 32,ROSENDALE,NY,12472,POINT (576707.0049770758 4633417.07890356),952700,CT,26519420,1147056,2783,2463,1170,784,386,31391,36,111,952700,both
ULSTER,36111952600,739165,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20389,1162,BROADWAY,ESOPUS,NY,12429,POINT (585814.0208989781 4630980.024095763),952600,CT,91460503,10295467,5523,5181,2389,1976,413,42326,36,111,952600,both
ULSTER,36111952500,510776,DOLGEN NEW YORK LLC,DOLLAR GENERAL #12050,130,BROADWAY US 9W,PORT EWEN,NY,12466,POINT (584683.1318219558 4640266.522434633),952500,CT,5177192,1691363,3237,2702,1353,1071,282,43125,36,111,952500,both
ULSTER,36111952000,510571,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 7698,363,FOXHALL AVE,KINGSTON,NY,12401,POINT (582868.2494924915 4643374.781131146),952000,CT,740496,0,2836,1470,985,455,530,22949,36,111,952000,both
ULSTER,36111951500,713330,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14739,954,ROUTE 28,KINGSTON,NY,12401,POINT (575766.4940978915 4648361.221613425),951500,CT,48042049,756475,3738,3074,1495,1127,368,37472,36,111,951500,both
ULSTER,36111951300,707426,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14176,1973,ULSTER AVE RT 9W,LAKE KATRINE,NY,12449,POINT (583932.630383878 4649269.409717534),951300,CT,17143631,2143979,4115,3537,1627,985,642,36607,36,111,951300,both
ULSTER,36111951000,722525,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17514,3110,ROUTE 28,SHOKAN,NY,12481,POINT (565790.3212405852 4647232.954050465),951000,CT,151384333,17465421,4297,3844,1683,1523,160,31144,36,111,951000,both
ULSTER,36111950300,510500,DOLGEN NEW YORK LLC,DOLLAR GENERAL #6514,3139,RT 9W,SAUGERTIES,NY,12477,POINT (586494.0785777 4656692.994134968),950300,CT,7113679,2318502,4268,3634,1853,1000,853,30394,36,111,950300,both
ULSTER,36071010901,711734,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14360,,2419 RT 52,PINE BUSH,NY,12566,POINT (558354.3671691116 4606551.737756427),10901,CT,32098663,51093,3363,2653,1282,800,482,42546,36,71,10901,both
TOMPKINS,36109002300,753583,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23670,1124,RIDGE RD,LANSING,NY,14882,POINT (369975.1867584225 4715546.164654098),2300,CT,169762369,19075323,5841,5238,2378,2058,320,44009,36,109,2300,both
TOMPKINS,36109002300,750127,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22623,1188,AUBURN RD,LOCKE,NY,13092,POINT (377135.845303367 4718935.070270691),2300,CT,169762369,19075323,5841,5238,2378,2058,320,44009,36,109,2300,both
TOMPKINS,36109002200,745194,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22567,178,MAIN ST,GROTON,NY,13073,POINT (387780.3961582784 4716015.169150403),2200,CT,79314153,207523,4697,4379,1838,1299,539,35787,36,109,2200,both
TOMPKINS,36109002000,708891,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14064,169,NORTH ST,DRYDEN,NY,13053,POINT (393270.7636516873 4706371.81427782),2000,CT,55093990,586578,4557,4120,1669,1151,518,30867,36,109,2000,both
TOMPKINS,36109001700,730512,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 17711,2124,MECKLENBURG RD,ITHACA,NY,14850,POINT (365689.2235466875 4701191.131950589),1700,CT,119634912,354060,4080,3885,1702,1344,358,34453,36,109,1700,both
TOMPKINS,36109001500,725025,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16838,1989,EAST SHORE DRIVE,LANSING,NY,14882,POINT (376669.5926676601 4710017.642476671),1500,CT,44399339,3503437,5745,4413,2435,1404,1031,43340,36,109,1500,both
TOMPKINS,36109001400,745190,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21094,1408,DRYDEN RD,FREEVILLE,NY,13068,POINT (384756.4255332952 4703088.489160398),1400,CT,53043055,352958,3509,3137,1609,935,674,36779,36,109,1400,both
TOMPKINS,36099951000,500181,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10064,9814,RT 96,TRUMANSBURG,NY,14886,POINT (362453.0726712977 4712074.200142111),951000,CT,81287547,16045715,1917,1834,847,700,147,32417,36,99,951000,both
TIOGA,36107020703,490064,DOLGEN NEW YORK LLC,DOLLAR GENERAL 6065,575,BROAD ST,WAVERLY,NY,14892,POINT (373419.5262018581 4651179.444270687),20703,CT,4210506,0,4178,3826,1759,982,777,30449,36,107,20703,both
TIOGA,36107020701,740747,DOLGEN NEW YORK LLC,DOLLAR GENERAL #6172,91,W TIOGA ST,SPENCER,NY,14883,POINT (376202.1016246061 4673994.043264997),20701,CT,127206992,822423,2915,2726,1212,919,293,30395,36,107,20701,both
TIOGA,36107020600,490078,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 10153,65,E RIVER RD,NICHOLS,NY,13812,POINT (386917.7976367364 4653025.631795802),20600,CT,238874725,4512368,7204,7035,3012,2428,584,32551,36,107,20600,both
TIOGA,36107020401,734633,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18509,7146,STATE ROUTE 434,APALACHIN,NY,13732,POINT (404882.6593989672 4657994.331072978),20401,CT,121903491,1641263,4530,4367,1899,1628,271,41422,36,107,20401,both
TIOGA,36107020300,490056,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9051,1147,NYS RT 17C,OWEGO,NY,13827,POINT (398170.3757069289 4661361.567148434),20300,CT,130645770,1255418,6327,6080,2829,2549,280,44597,36,107,20300,both
TIOGA,36107020200,736200,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19746,97,OWEGO RD,CANDOR,NY,13743,POINT (389924.6003679238 4676462.902904136),20200,CT,246029924,305736,4995,4805,2264,1637,627,34362,36,107,20200,both
TIOGA,36107020200,718993,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16036,1140,OWEGO RD,CANDOR,NY,13743,POINT (391637.5005031142 4668972.9736542),20200,CT,246029924,305736,4995,4805,2264,1637,627,34362,36,107,20200,both
TIOGA,36107020101,734631,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19035,12343,STATE ROUTE 38,BERKSHIRE,NY,13736,POINT (402136.3649540478 4683226.738541678),20101,CT,177346057,75268,2421,2389,972,865,107,35599,36,107,20101,both
SULLIVAN,36105952400,722689,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15950,585,STATE RT 55,ELDRED,NY,12732,POINT (509640.0136965979 4597344.144730121),952400,CT,129648268,4807606,2356,2248,1108,978,130,42005,36,105,952400,both
SULLIVAN,36105952100,716799,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15815,4984,ST RT 52,JEFFERSONVILLE,NY,12748,POINT (504869.7657001681 4624836.999978295),952100,CT,90378322,1727602,2574,2096,1142,866,276,41570,36,105,952100,both
SULLIVAN,36105951900,707838,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14321,1334,ST RT 17B,WHITE LAKE,NY,12786,POINT (515379.9020293981 4613741.395118457),951900,CT,69649455,1546326,2053,1952,806,508,298,38609,36,105,951900,both
SULLIVAN,36105951701,729523,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16890,37,GLEN WILD RD,ROCK HILL,NY,12775,POINT (533468.3859500855 4608632.160816641),951701,CT,80751463,4230629,3468,2771,1374,1135,239,44427,36,105,951701,both
SULLIVAN,36105951202,740749,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20156,882,BLOOMBURG RD,BLOOMINGBURG,NY,12721,POINT (547899.7302444873 4602276.767525389),951202,CT,21257929,18955,3325,2952,1035,664,371,34875,36,105,951202,both
SULLIVAN,36105951201,714222,DOLGEN NEW YORK LLC,DOLLAR GENERAL 15110,3282,ROUTE 209,WURTSBORO,NY,12790,POINT (543510.1481603479 4603766.85800842),951201,CT,56881139,170745,4308,3606,1399,1095,304,44395,36,105,951201,both
SULLIVAN,36105950802,713614,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14958,5687,STATE ROUTE 42,FALLSBURG,NY,12733,POINT (532781.9310257531 4620046.156090944),950802,CT,47641268,198831,1881,1695,817,615,202,39599,36,105,950802,both
SULLIVAN,36105950600,742029,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20891,3357,STATE RT 52,WHITE SULPHER SPRING,NY,12787,POINT (514018.4135514173 4627510.420699215),950600,CT,78608932,1521026,1663,1470,607,510,97,39639,36,105,950600,both
SULLIVAN,36105950500,480273,DOLGEN NEW YORK LLC,DOLLAR GENERAL 6295,1860,ST RT 52,LIBERTY,NY,12754,POINT (523818.9200738246 4625612.829772022),950500,CT,96038212,1184578,3526,3126,1194,752,442,37188,36,105,950500,both
SULLIVAN,36105950201,724824,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16523,100,MAIN ST,LIVINGSTON MANOR,NY,12758,POINT (513986.9229495093 4638551.52360358),950201,CT,66448171,270500,2607,1867,1121,912,209,30191,36,105,950201,both
SULLIVAN,36105950100,734522,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18717,7899,STATE ROUTE 55,NEVERSINK,NY,12765,POINT (534555.7633866777 4634079.654092116),950100,CT,214381821,9041006,3427,3109,1472,1208,264,45679,36,105,950100,both
SUFFOLK,36103159517,730526,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19240,441,WILLIAM FLOYD PKWY,SHIRLEY,NY,11967,POINT (680211.0265533782 4516841.090824441),159517,CT,2641935,0,3690,3074,990,723,267,30902,36,103,159517,both
SUFFOLK,36103158705,759935,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30610,200,MIDDLE COUNTRY RD,MIDDLE ISLAND,NY,11953,POINT (671365.2068415096 4527127.070415801),158705,CT,4413705,35802,4179,1015,1139,941,198,34276,36,103,158705,both
SUFFOLK,36103158401,730527,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19238,29,ROCKY POINT YAPHUNK RD,ROCKY POINT,NY,11778,POINT (673350.5511911807 4534368.518906083),158401,CT,20900109,0,1222,1181,464,413,51,53859,36,103,158401,both
SUFFOLK,36103123404,730519,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19227,660,N WELLWOOD AVE,LINDENHURST,NY,11757,POINT (636438.4589183318 4507029.785053614),123404,CT,2105125,0,5459,4264,1853,1396,457,48688,36,103,123404,both
SUFFOLK,36103123304,744191,DOLGEN NEW YORK LLC,DOLLAR GENERAL 21988,3395,GREAT NECK RD,AMITYVILLE,NY,11701,POINT (634284.2297178665 4506492.659263694),123304,CT,1396845,0,5357,925,1562,1041,521,37878,36,103,123304,both
STEUBEN,36101963000,749771,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20710,1084,CATON RD,CORNING,NY,14830,POINT (332214.2002602131 4658018.684178802),963000,CT,194541412,1866515,3787,3665,1414,1303,111,40723,36,101,963000,both
STEUBEN,36101962302,460181,DOLGEN NEW YORK LLC,DOLLAR GENERAL 6795,82,VICTORY HWY,PAINTED POST,NY,14870,POINT (326457.9614231522 4670825.256316579),962302,CT,11666860,49288,2566,2337,1195,847,348,39121,36,101,962302,both
STEUBEN,36101962200,460153,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9419,20,TUSCARORA ST,ADDISON,NY,14801,POINT (315144.5589302762 4663712.188734667),962200,CT,66161312,368524,2579,2548,998,673,325,31084,36,101,962200,both
STEUBEN,36101962000,735094,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18917,3851,STATE RT 417,JASPER,NY,14855,POINT (293260.0795997657 4666255.81783767),962000,CT,601496576,673071,4359,4273,1590,1278,312,28459,36,101,962000,both
STEUBEN,36101961900,460131,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8446,54B,W MAIN ST,CANISTEO,NY,14823,POINT (285051.0563365978 4683595.192598185),961900,CT,140768140,24435,3223,3012,1311,949,362,30240,36,101,961900,both
STEUBEN,36101961700,749774,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22186,8569,MAIN ST,CAMPBELL,NY,14821,POINT (319217.0595766006 4677607.689993924),961700,CT,105372683,243467,3232,3185,1245,1159,86,40124,36,101,961700,both
STEUBEN,36101961300,749592,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22635,6758,RT 415,BATH,NY,14810,POINT (310647.063182928 4688860.690347873),961300,CT,130460119,1291435,3984,3710,1658,1333,325,32250,36,101,961300,both
STEUBEN,36101961300,719073,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15759,4,W LAMOKA AVE,SAVONA,NY,14879,POINT (316988.6792485423 4684270.253374035),961300,CT,130460119,1291435,3984,3710,1658,1333,325,32250,36,101,961300,both
STEUBEN,36101961200,460203,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 7505,7183,ST RT 54 STE 101,BATH,NY,14810,POINT (309909.874559521 4691298.50654238),961200,CT,6608541,0,3566,3292,1821,943,878,23668,36,101,961200,both
STEUBEN,36101961100,460239,DOLGEN NEW YORK LLC,DOLLAR GENERAL 7420,7078,STATE RTE 415,BATH,NY,14810,POINT (307377.7260401173 4690643.182850889),961100,CT,109797070,165306,4407,4031,1931,1332,599,29983,36,101,961100,both
STEUBEN,36101961000,725466,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17267,95,S MAIN ST,AVOCA,NY,14809,POINT (300854.9774376697 4697137.290952801),961000,CT,250703538,675439,3568,3396,1394,1108,286,32260,36,101,961000,both
STEUBEN,36101960900,460207,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10186,187,MAIN ST,HORNELL,NY,14843,POINT (280924.8021659873 4689436.440188324),960900,CT,1403123,0,2588,2489,1121,636,485,15511,36,101,960900,both
STEUBEN,36101960600,460120,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8149,7451,SENECA RD N,HORNELL,NY,14843,POINT (280428.0244899561 4693318.771794165),960600,CT,112874616,560252,3998,3772,1739,1354,385,31225,36,101,960600,both
STEUBEN,36101960400,460164,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9732,303,N LACKAWANNA ST,WAYLAND,NY,14572,POINT (287428.3191926476 4716741.977026832),960400,CT,100353492,1530990,3936,3605,1611,1212,399,27804,36,101,960400,both
STEUBEN,36101960300,739169,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19743,19,N DANSVILLE STREET,COHOCTON,NY,14826,POINT (293836.5424653324 4708953.326861376),960300,CT,145246643,18357,2466,2355,1011,846,165,31918,36,101,960300,both
STEUBEN,36101960200,710490,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14692,75,S MAIN ST,PRATTSBURGH,NY,14873,POINT (311972.8005500623 4709859.33481857),960200,CT,253125463,286126,3172,2900,1074,938,136,30070,36,101,960200,both
ST. LAWRENCE,36089493000,729527,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17768,2776,NYS RT 11B,NICHOLVILLE,NY,12965,POINT (522983.9722038924 4948441.714594034),493000,CT,1348133135,58802690,1160,1141,501,438,63,40385,36,89,493000,both
ST. LAWRENCE,36089492900,733234,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18388,52,S MAIN ST,HAMMOND,NY,13646,POINT (444637.3330900372 4921493.14873744),492900,CT,258998791,44412638,2156,2120,779,625,154,29707,36,89,492900,both
