County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
DELAWARE,746355,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21723,15276,STATE HWY 30,,,DOWNSVILLE,NY,13755,9160,POINT (-74.993337101 42.078199442)
COLUMBIA,746084,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16022,4311,ROUTE 9G,,,GERMANTOWN,NY,12526,0,POINT (-73.891124257 42.136330806)
ALBANY,746076,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 22495,310,S PEARL ST,,,ALBANY,NY,12202,0,POINT (-73.757487132 42.64013989)
ERIE,745207,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21384,2250,NIAGARA FALLS BLVD,,,TONAWANDA,NY,14150,8000,POINT (-78.822767781 43.015713525)
CHENANGO,745206,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21772,478,COUNTY ROAD 16,,,PLYMOUTH,NY,13832,6500,POINT (-75.602154003 42.617619267)
ERIE,745205,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21543,1107,SHERIDAN DR,,,TONAWANDA,NY,14150,8000,POINT (-78.893453795 42.980318467)
CAYUGA,745204,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21994,293,CAYUGA ST,,,UNION SPRINGS,NY,13160,0,POINT (-76.692092603 42.856263576)
ALLEGANY,745203,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21722,135,E MAIN ST,,,ANGELICA,NY,14709,0,POINT (-78.009042227 42.303960194)
WASHINGTON,745202,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21459,2033,CTY RD 23,,,GRANVILLE,NY,12832,0,POINT (-73.293554487 43.431160726)
CHAUTAUQUA,745198,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21766,226,WINSOR ST,,,JAMESTOWN,NY,14701,9160,POINT (-79.229651093 42.099600761)
TOMPKINS,745194,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22567,178,MAIN ST,,,GROTON,NY,13073,0,POINT (-76.367681686 42.588397522)
OTSEGO,745192,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21671,1735,ST HWY 205,,,LAURENS,NY,13796,0,POINT (-75.074145484 42.540027906)
TOMPKINS,745190,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21094,1408,DRYDEN RD,,,FREEVILLE,NY,13068,0,POINT (-76.401920336 42.471571184)
BROOME,745189,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20396,1749,NY STREET RTE 12,,,BINGHAMTON,NY,13901,9160,POINT (-75.875806378 42.193831206)
ORANGE,745164,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21504,1650,RTE 211,,,OTISVILLE,NY,10963,0,POINT (-74.5237774 41.4699172)
OSWEGO,745163,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21707,4296,STATE ROUTE 104,,,MEXICO,NY,13114,9160,POINT (-76.318950558 43.479901186)
SCHUYLER,745162,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21908,365,COUNTY RD 23,,,DUNDEE,NY,14837,4000,POINT (-77.083303601 42.423096123)
ONEIDA,745160,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21145,9127,TURIN RD,,,ROME,NY,13440,9160,POINT (-75.473416688 43.302482322)
CHENANGO,745159,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21789,6286,STATE HWY 23,,,SOUTH NEW BERLIN,NY,13843,0,POINT (-75.389956716 42.531355018)
OSWEGO,745121,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21343,1668,RT 45,,,FULTON,NY,13069,9100,POINT (-76.282698911 43.364959351)
RENSSELAER,744482,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21200,324,NY RTE 43,,,STEPHENTOWN,NY,12168,4000,POINT (-73.367560326 42.547990714)
OSWEGO,744479,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21401,2340,STATE RTE 13,,,ALTMAR,NY,13302,9346,POINT (-76.007136227 43.511347236)
ONONDAGA,744235,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22429,7386,OSWEGO RD,,,LIVERPOOL,NY,13090,0,POINT (-76.218293959 43.128768258)
SENECA,744234,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20950,8453,MAIN ST,,,INTERLAKEN,NY,14847,0,POINT (-76.723972753 42.614534559)
ERIE,744233,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21270,3230,WALDEN AVE,,,DEPEW,NY,14043,0,POINT (-78.700404818 42.911678181)
FULTON,744230,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20951,3237,RTE 29A,,,CAROGA LAKE,NY,12032,0,POINT (-74.480333074 43.137548889)
CORTLAND,744229,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21716,2717,ROUTE 26,,,CINCINNATUS,NY,13040,9100,POINT (-75.903218219 42.53826934)
NIAGARA,744228,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20328,5970,E LAKE RD,,,OLCOTT,NY,14126,7542,POINT (-78.7131376 43.335329659)
SCHENECTADY,744226,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21982,1936,VAN VRANKEN AVE,,,SCHENECTADY,NY,12308,0,POINT (-73.921238172 42.827798758)
SUFFOLK,744191,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 21988,3395,GREAT NECK RD,,,AMITYVILLE,NY,11701,5000,POINT (-73.410562171 40.698404168)
CORTLAND,744043,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 21374,5795,ROUTE 13,,,CUYLER,NY,13158,0,POINT (-75.892960781 42.755864636)
MONTGOMERY,742191,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8623,174,W GRAND ST,,,PALATINE BRIDGE,NY,13428,0,POINT (-74.583586303 42.914140449)
SULLIVAN,742029,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20891,3357,STATE RT 52,,,WHITE SULPHER SPRING,NY,12787,9346,POINT (-74.831260645 41.799331862)
CHEMUNG,741440,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20645,113,OLD ITHICA RD,,,HORSEHEADS,NY,14845,0,POINT (-76.817970433 42.17516387)
CLINTON,741149,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19573,2593,STATE ROUTE 11,,,MOOERS,NY,12958,0,POINT (-73.597621691 44.959628584)
ONEIDA,741148,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20688,5354,STATE ROUTE 233,,,WESTMORELAND,NY,13490,0,POINT (-75.405701136 43.121728926)
WASHINGTON,740970,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20719,290,BROADWAY,,,FORT EDWARD,NY,12828,0,POINT (-73.585910077 43.279272077)
SULLIVAN,740749,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20156,882,BLOOMBURG RD,,,BLOOMINGBURG,NY,12721,8300,POINT (-74.4254702 41.5707368)
MADISON,740748,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20391,5114,BEAR PATH RD,,,MUNNSVILLE,NY,13409,0,POINT (-75.586449921 42.969722987)
TIOGA,740747,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #6172,91,W TIOGA ST,,,SPENCER,NY,14883,0,POINT (-76.499709904 42.208313165)
ONTARIO,740602,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20442,9212,ROUTE 5 & 20,,,W BLOOMFIELD,NY,14469,0,POINT (-77.548640965 42.90709085)
NIAGARA,740535,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19988,3622,HYDE PARK BLVD,,,NIAGARA FALLS,NY,14305,6000,POINT (-79.036526428 43.120832859)
ERIE,740534,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19760,11184,BIG TREE RD,,,EAST AURORA,NY,14052,9200,POINT (-78.569655008 42.767853482)
ONEIDA,740533,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20510,10372,PRITCHARD RD,,,REMSEN,NY,13438,9750,POINT (-75.20126811 43.337443114)
CHEMUNG,740439,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20329,1817,PENNSYLVANIA AVE,,,PINE CITY,NY,14871,0,POINT (-76.897414195 42.005190357)
ERIE,740375,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20621,6889,ERIE ROAD,,,DERBY,NY,14047,3000,POINT (-78.984109275 42.699097191)
JEFFERSON,740226,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19591,43450,STATE RT 12,,,ALEXANDRIA BAY,NY,13607,9160,POINT (-75.965844195 44.297375378)
OTSEGO,740186,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20258,6373,ST HWY 7,,,MARYLAND,NY,12116,9200,POINT (-74.965550636 42.493116321)
CHAUTAUQUA,739928,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #17957,3032,ROUTE 430,,,BEMUS POINT,NY,14712,7520,POINT (-79.308917913 42.123757783)
ST. LAWRENCE,739764,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19569,1809,STATE HWY 345,,,MADRID,NY,13660,0,POINT (-75.12681376 44.744158143)
JEFFERSON,739761,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19585,2137,S JAMES ST,,,CAPE VINCENT,NY,13618,9200,POINT (-76.327723729 44.118191076)
ALLEGANY,739757,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20432,7259,COUNTY RD 20,,,FRIENDSHIP,NY,14739,0,POINT (-78.147222008 42.20221311)
ONONDAGA,739443,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21162,4975,BEAR RD,,,LIVERPOOL,NY,13088,10100,POINT (-76.171846313 43.136800133)
ALLEGANY,739282,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20345,46,E CHESTNUT ST,,,ANDOVER,NY,14806,7500,POINT (-77.791524895 42.154600432)
STEUBEN,739169,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19743,19,N DANSVILLE STREET,,,COHOCTON,NY,14826,2500,POINT (-77.509253229 42.505484532)
RENSSELAER,739168,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19865,396,2ND AVENUE,,,TROY,NY,12182,0,POINT (-73.680295777 42.76770724)
ALBANY,739167,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19911,805,HELDERBERG TRAIL,,,EAST BERNE,NY,12059,0,POINT (-74.068605189 42.613957591)
SCHUYLER,739166,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19976,391,STATE ROUTE 414,,,BEAVER DAMS,NY,14812,0,POINT (-76.957609922 42.251553476)
ULSTER,739165,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20389,1162,BROADWAY,,,ESOPUS,NY,12429,0,POINT (-73.966635063 41.82605796)
ERIE,738953,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21065,1971,COLVIN BLVD,,,TONAWANDA,NY,14150,4000,POINT (-78.852171329 42.991592713)
HERKIMER,738952,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20834,166,SOUTH ST,,,WEST WINFIELD,NY,13491,0,POINT (-75.192193862 42.883658946)
HERKIMER,738951,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19944,2102,STATE RT 5,,,UTICA,NY,13502,0,POINT (-75.162297792 43.103695723)
CHENANGO,738725,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19913,109,STATE RT 12,,,CHENANGO FORKS,NY,13746,9700,POINT (-75.835997367 42.246117267)
DELAWARE,738724,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19989,2232,NYS RT 206,,,MASONVILLE,NY,13804,7263,POINT (-75.37455214 42.241982767)
